/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', None, None, None)
 -- forward : 0.00
 -- right : 1.39
 -- left : 0.00

('left', 'green', 'right', 'forward', None)
 -- None : -3.02
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'forward', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : -14.69
 -- left : 0.00

('forward', 'green', None, 'forward', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -0.07

('left', 'green', None, 'forward', 'left')
 -- None : -3.94
 -- forward : 0.00
 -- right : 0.38
 -- left : 0.00

('forward', 'green', 'left', None, None)
 -- None : 1.50
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'left', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.12
 -- left : 0.23

('forward', 'red', None, 'left', None)
 -- None : 2.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -7.38

('forward', 'red', 'forward', None, None)
 -- None : 0.00
 -- forward : -9.19
 -- right : 0.90
 -- left : 0.00

('right', 'red', 'forward', None, None)
 -- None : 1.82
 -- forward : -7.80
 -- right : 1.28
 -- left : -6.78

('right', 'green', 'left', None, 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.87
 -- left : 0.00

('right', 'red', None, 'left', 'forward')
 -- None : 2.08
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'right', 'forward')
 -- None : 1.43
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', None, 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -15.74

('forward', 'red', None, None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : -0.03
 -- left : 0.00

('left', 'green', 'forward', None, None)
 -- None : -3.91
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, None, None)
 -- None : 2.00
 -- forward : -7.16
 -- right : 0.92
 -- left : -8.08

('right', 'green', None, 'right', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 2.04
 -- left : 0.36

('left', 'red', 'forward', None, None)
 -- None : 1.81
 -- forward : -10.09
 -- right : 1.29
 -- left : 0.00

('right', 'green', 'right', None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.92
 -- left : 0.00

('left', 'red', None, None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.48
 -- left : 0.00

('right', 'red', 'right', None, 'left')
 -- None : 0.00
 -- forward : -8.14
 -- right : 1.97
 -- left : 0.00

('right', 'green', 'forward', 'left', None)
 -- None : 0.00
 -- forward : -0.06
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -29.27

('right', 'green', None, None, 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.92
 -- left : 0.46

('forward', 'red', 'left', 'left', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.26
 -- left : -7.53

('left', 'red', None, 'left', 'left')
 -- None : 2.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -7.96

('left', 'red', None, 'forward', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : -0.02
 -- left : 0.00

